,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
5,2021-02-10,1280094,837070.30,313061,6.0,4.0,3379.0,7407.0,23,6,2017,1.0,5.0,2.0,2100.00
581,2020-11-23,1275642,779817.27,432555,3.0,2.0,1680.0,8125.0,21,14,2019,0.0,3.0,1.0,5100.0
3794,2019-11-27,1238504,287253.96,215000,2.0,3.0,1917.0,2124.0,51,43,2019,1.0,3.0,1.0,226600.0
4028,2019-11-12,1222450,708798.92,283598,4.0,2.0,3004.0,6000.0,109,27,2016,1.0,3.0,2.0,4100.0
6958,2019-05-20,1207694,219964.6,189612,3.0,2.0,1364.0,4501.0,54,17,2016,1.0,7.0,4.0,205200.0
9734,2018-12-10,1178032,2100897.76,789570,4.0,4.0,3750.0,21600.0,84,39,2017,0.0,5.0,4.0,10100.0
11078,2018-10-09,1158706,472496.6,230000,4.0,3.0,1507.0,1.0,70,52,2017,1.0,6.0,1.0,240300.0
13173,2018-07-06,1156604,635928.23,193779,3.0,2.0,1850.0,130680.0,62,41,2017,0.0,3.0,1.0,450100.0
14144,2018-05-21,1143882,402565.02,191000,3.0,2.0,1656.0,1896.0,57,10,2013,1.0,5.0,2.0,450100.0
14796,2018-04-18,1143276,266538.23,124060,2.0,2.0,1678.0,5250.0,25,3,2014,1.0,3.0,3.0,282100.0
15158,2018-04-05,1132660,816005.11,325023,5.0,3.0,3399.0,5000.0,113,51,2017,1.0,5.0,1.0,284200.0
16912,2018-01-22,1121527,594186.33,451619,5.0,4.0,2786.0,7500.0,60,13,2014,1.0,84.0,3.0,411900.0
17722,2017-12-13,1119993,272290.75,464531,6.0,3.0,3430.0,7500.0,60,8,2012,0.0,3.0,5.0,317100.0
19449,2017-09-26,1108075,568922.64,321354,0.0,0.0,1836.0,9300.0,57,56,2017,0.0,3.0,1.0,381100.0
21205,2017-07-31,1091134,565804.25,185682,0.0,1.0,485.0,1.0,43,3,2010,1.0,5.0,3.0,157100.0
21751,2017-07-13,1093147,284325.42,131288,3.0,2.0,1290.0,5500.0,16,2,2012,1.0,3.0,6.0,240100.0
22266,2017-06-22,1088364,129193.62,107415,3.0,1.0,1162.0,2210.0,111,50,2017,1.0,4.0,1.0,20100.0
25151,2017-03-17,1064521,330302.79,239250,0.0,0.0,1796.0,4140.0,28,4,2011,0.0,8.0,4.0,183000.0
