,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,Lot Size,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Status Binary
5,2021-02-10,1280094,837070.30,313061,328800.00,6.0,4.0,3379.0,7407.0,23,6,2017,1.0,5.0,2.0,1.0
39,2021-02-08,1278771,178186.48,125398,181862.32,3.0,2.0,1775.0,8475.0,15,13,2020,1.0,6.0,1.0,1.0
581,2020-11-23,1275642,779817.27,432555,780161.46,3.0,2.0,1680.0,8125.0,21,14,2019,0.0,3.0,1.0,1.0
794,2020-10-19,1270512,165643.01,176312,165643.00,0.0,0.0,1513.0,9424.0,25,21,2019,0.0,3.0,1.0,0.0
3160,2020-01-07,1241906,303108.22,213053,303108.22,0.0,0.0,3312.0,93218.4,86,65,2018,0.0,5.0,2.0,0.0
3422,2019-12-17,1233391,69959.36,152502,81507.00,3.0,2.0,1736.0,3910.0,28,18,2018,1.0,4.0,1.0,0.0
3926,2019-11-19,1229006,303108.22,213053,308200.00,0.0,0.0,3312.0,93218.4,19,16,2018,0.0,5.0,2.0,0.0
4028,2019-11-12,1222450,708798.92,283598,300000.00,4.0,2.0,3004.0,6000.0,109,27,2016,1.0,3.0,2.0,1.0
4349,2019-10-28,1224349,253361.54,254428,260276.85,0.0,0.0,2264.0,15682.0,58,41,2018,1.0,7.0,1.0,0.0
4396,2019-10-23,1231269,215569.98,206152,161500.00,5.0,2.0,1906.0,8840.0,44,6,2016,0.0,5.0,1.0,1.0
6315,2019-06-26,1215361,113451.09,93781,109819.30,2.0,1.0,645.0,1250.0,25,11,2018,1.0,8.0,1.0,1.0
9603,2019-01-07,1175157,516302.28,317384,387641.04,6.0,3.0,3483.0,9609.0,203,70,2016,1.0,3.0,3.0,0.0
9734,2018-12-10,1178032,2100897.76,789570,2175189.27,4.0,4.0,3750.0,21600.0,84,39,2017,0.0,5.0,4.0,1.0
10588,2018-10-29,1165971,219964.6,189612,183604.00,3.0,2.0,1364.0,4501.0,84,29,2016,1.0,7.0,4.0,0.0
10630,2018-10-24,1174835,2174324.54,2401213,2174324.54,0.0,0.0,35919.0,54886.0,31,6,2013,0.0,6.0,1.0,0.0
11640,2018-09-12,1165063,533474.3,222620,408500.00,8.0,4.0,2594.0,5000.0,70,6,2013,0.0,6.0,5.0,0.0
12071,2018-08-22,1160600,378091.92,313202,454468.86,4.0,3.0,2346.0,8107.0,52,1,2010,0.0,8.0,7.0,0.0
13173,2018-07-06,1156604,635928.23,193779,640412.93,3.0,2.0,1850.0,130680.0,62,41,2017,0.0,3.0,1.0,1.0
14144,2018-05-21,1143882,402565.02,191000,483678.59,3.0,2.0,1656.0,1896.0,57,10,2013,1.0,5.0,2.0,1.0
14796,2018-04-18,1143276,266538.23,124060,283800.00,2.0,2.0,1678.0,5250.0,25,3,2014,1.0,3.0,3.0,1.0
15249,2018-04-02,1136147,533474.3,222620,375000.00,8.0,4.0,2594.0,5000.0,44,6,2013,0.0,6.0,5.0,0.0
17722,2017-12-13,1119993,272290.75,464531,318975.11,6.0,3.0,3430.0,7500.0,60,8,2012,0.0,3.0,5.0,1.0
17790,2017-12-08,1121284,2721210.44,2494967,2721210.44,0.0,0.0,15166.0,67897.0,32,31,2017,0.0,4.0,1.0,0.0
17945,2017-12-01,1103877,156606.67,176639,159973.80,2.0,2.0,1679.0,7000.0,16,5,2015,0.0,17.0,3.0,0.0
18102,2017-11-21,1108126,420680.44,417560,340000.00,3.0,2.0,2717.0,15000.0,35,5,2013,0.0,4.0,1.0,1.0
21751,2017-07-13,1093147,284325.42,131288,244170.81,3.0,2.0,1290.0,5500.0,16,2,2012,1.0,3.0,6.0,1.0
22266,2017-06-22,1088364,129193.62,107415,129979.90,3.0,1.0,1162.0,2210.0,111,50,2017,1.0,4.0,1.0,1.0
22324,2017-06-21,1086873,378091.92,313202,238114.83,4.0,3.0,2346.0,8107.0,35,3,2010,0.0,8.0,7.0,0.0
24460,2017-04-10,1057752,287686.99,229231,190000.00,4.0,2.0,2466.0,10934.0,83,41,2014,0.0,4.0,1.0,1.0
